what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444813914080
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444813918565
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444813927023
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444813932933
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444813934355
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444813941045
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444813942717
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444813944874
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444813945952
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444813951419
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444813959190
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444813960909
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1444813968529
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444813970858
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1444813981111
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444813984451
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1444813987558
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444813988723
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444813995419
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444813997302
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444814003511
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444814007508
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444814023622
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444814023958
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444814037246
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444814038762
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444814042029
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444814064377
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444814073244
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444814079794
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444814103916
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444814106119
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444814137977
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444814140930
